"type","fixed.acidity","volatile.acidity","citric.acid","residual.sugar","chlorides","free.sulfur.dioxide","total.sulfur.dioxide","density","pH","sulphates","alcohol"
"R",8,0.81,0.25,3.4,0.076,34,85,0.99668,3.19,0.42,9.2
"R",7.3,0.59,0.26,2,0.08,17,104,0.99584,3.28,0.52,9.9
"W",6.4,0.105,0.29,1.1,0.035,44,140,0.99142,3.17,0.55,10.7
"W",5.8,0.2,0.16,1.4,0.042,44,99,0.98912,3.23,0.37,12.2
"W",8,0.26,0.28,8.2,0.038,72,202,0.99566,3.12,0.56,10
"R",8.4,0.62,0.12,1.8,0.072,38,46,0.99504,3.38,0.89,11.8
"W",6.7,0.35,0.32,9,0.032,29,113,0.99188,3.13,0.65,12.9
"W",5.1,0.31,0.3,0.9,0.037,28,152,0.992,3.54,0.56,10.1
"W",8.1,0.22,0.43,1.5,0.044,28,129,0.9938,3.22,0.45,11
"W",8.7,0.3,0.34,4.8,0.018,23,127,0.99474,3.12,0.49,11.2
"W",6.7,0.25,0.23,7.2,0.038,61,220,0.9952,3.14,0.35,9.5
"W",6.5,0.29,0.42,10.6,0.042,66,202,0.99674,3.24,0.53,9.5
"W",6.8,0.15,0.3,5.3,0.05,40,127,0.9942,3.4,0.39,9.7
"W",6.7,0.24,0.36,8.4,0.042,42,123,0.99473,3.34,0.52,10.9
"W",6.3,0.22,0.22,5.6,0.039,31,128,0.99296,3.12,0.46,10.4
"W",8.9,0.33,0.32,1.5,0.047,11,200,0.9954,3.19,0.46,9.4
"W",7.5,0.26,0.38,5.7,0.021,23,125,0.99338,3.13,0.62,11.1
"W",6,0.32,0.3,1.9,0.033,41,142,0.98912,3.29,0.42,12.8
"R",8.4,0.665,0.61,2,0.112,13,95,0.997,3.16,0.54,9.1
"W",7.1,0.31,0.47,13.6,0.056,54,197,0.9978,3.1,0.49,9.3
"R",7.4,0.635,0.1,2.4,0.08,16,33,0.99736,3.58,0.69,10.8
"W",6.7,0.18,0.28,10.2,0.039,29,115,0.99469,3.11,0.45,10.9
"W",7.1,0.25,0.25,1.6,0.046,50,181,0.9925,3.2,0.42,11
"W",5.5,0.28,0.21,1.6,0.032,23,85,0.99027,3.42,0.42,12.5
"W",6.8,0.29,0.5,13.3,0.053,48,194,0.9974,3.09,0.45,9.4
"W",5.9,0.19,0.26,7.4,0.034,33,123,0.995,3.49,0.42,10.1
"R",5.9,0.44,0,1.6,0.042,3,11,0.9944,3.48,0.85,11.7
"W",6.7,0.21,0.49,1.4,0.047,30,114,0.9914,2.92,0.42,10.8
"W",7.5,0.38,0.29,12.7,0.05,25,209,0.9986,3.25,0.59,9.3
"W",7.1,0.21,0.35,2.5,0.04,41,186,0.99128,3.32,0.56,12.5
"W",6.1,0.105,0.31,1.3,0.037,55,145,0.9912,3.41,0.41,11.1
"W",5.8,0.32,0.38,4.75,0.033,23,94,0.991,3.42,0.42,11.8
"W",7,0.34,0.3,1.8,0.045,44,142,0.9914,2.99,0.45,10.8
"W",5.6,0.13,0.27,4.8,0.028,22,104,0.9948,3.34,0.45,9.2
"W",8,0.28,0.42,7.1,0.045,41,169,0.9959,3.17,0.43,10.6
"W",6.4,0.28,0.41,6.8,0.045,61,216,0.9952,3.09,0.46,9.4
"W",6.9,0.3,0.21,15.7,0.056,49,159,0.99827,3.11,0.48,9
"R",8.9,0.61,0.49,2,0.27,23,110,0.9972,3.12,1.02,9.3
"W",7.1,0.18,0.32,12.2,0.048,36,125,0.9967,2.92,0.54,9.4
"W",6.8,0.19,0.34,1.9,0.04,41,108,0.99,3.25,0.45,12.9
"W",6,0.11,0.47,10.6,0.052,69,148,0.9958,2.91,0.34,9.3
"W",7.1,0.36,0.24,1.8,0.025,32,102,0.9903,3.34,0.59,12.8
"W",6.5,0.36,0.32,1.1,0.031,13,66,0.9916,3.1,0.46,10.6
"W",6.6,0.24,0.33,10.1,0.032,8,81,0.99626,3.19,0.51,9.8
"W",6.5,0.35,0.28,12.4,0.051,86,213,0.9962,3.16,0.51,9.9
"W",6.5,0.15,0.44,12.6,0.052,65,158,0.99688,3.26,0.7,10.3
"W",7.4,0.19,0.3,12.8,0.053,48.5,229,0.9986,3.14,0.49,9.1
"W",6.9,0.26,0.38,10.5,0.044,33,139,0.99517,3.06,0.5,10.3
"W",7.1,0.14,0.35,1.4,0.039,24,128,0.99212,2.97,0.68,10.4
"W",7.5,0.3,0.32,1.4,0.032,31,161,0.99154,2.95,0.42,10.5
"R",10.3,0.41,0.42,2.4,0.213,6,14,0.9994,3.19,0.62,9.5
"W",6.3,0.33,0.2,5.8,0.04,24,144,0.99425,3.15,0.63,9.9
"R",10.8,0.89,0.3,2.6,0.132,7,60,0.99786,2.99,1.18,10.2
"W",6,0.16,0.37,1.5,0.025,43,117,0.9928,3.46,0.51,9.7
"W",6.7,0.35,0.32,9,0.032,29,113,0.99188,3.13,0.65,12.9
"R",12.4,0.35,0.49,2.6,0.079,27,69,0.9994,3.12,0.75,10.4
"W",5.9,0.37,0.1,1.6,0.057,39,128,0.9924,3.24,0.48,10.1
"W",5,0.2,0.4,1.9,0.015,20,98,0.9897,3.37,0.55,12.05
"W",6.5,0.38,0.34,3.4,0.036,34,200,0.9937,3.14,0.76,10
"R",7.6,0.715,0,2.1,0.068,30,35,0.99533,3.48,0.65,11.4
"W",6.6,0.17,0.28,1.1,0.034,55,108,0.98939,3,0.52,11.9
"W",7.4,0.16,0.3,13.7,0.056,33,168,0.99825,2.9,0.44,8.7
"R",6.8,0.49,0.22,2.3,0.071,13,24,0.99438,3.41,0.83,11.3
"R",9.4,0.41,0.48,4.6,0.072,10,20,0.9973,3.34,0.79,12.2
"W",6.9,0.18,0.38,6.5,0.039,20,110,0.9943,3.1,0.42,10.5
